feature,importance,mutual_info,correlation,cohens_d,pca_reconstruction_error,importance_norm,mutual_info_norm,correlation_norm,cohens_d_norm,pca_reconstruction_error_norm,usefulness_score,combined_score,feature_group
connection_completed,0.012208553268002862,0.14247010155560402,0.4987672752850396,1.234415142091944,0.05189274575421847,0.06946385141181907,0.3068894951208109,0.6801596022758087,0.5973558666218829,0.23557673982757169,0.3829324163143809,0.3387257133683381,Engineered - Connection State
ackdat,0.03537279855721306,0.2274396154736511,0.15601507058271208,0.22180588756282177,0.11263400137654757,0.20126306279371345,0.48991913391694103,0.2127548329948594,0.1073358902276463,0.5113229306403448,0.25224364147323275,0.32996742822336633,TCP Features
avg_packet_size,0.023268944641663517,0.46423909524670726,0.3198539257000156,0.3955493493864344,0.023489598363765102,0.13239492654175633,1.0,0.4361788145907336,0.19141350129100743,0.106635386545238,0.4248076162034255,0.32935594730596923,Engineered - Traffic Volume
is_asymmetric,0.0008583741784308311,0.00020930729521273506,0.08452148438289549,0.18195921576766724,0.20807977754450796,0.00488395103640445,0.00045086098382451906,0.11526036700939812,0.0880533633446284,0.9446167263946852,0.046643314794914195,0.3160353382748455,Engineered - Asymmetry
synack,0.037656824731980114,0.22998571709931936,0.1661906763936147,0.12646258269549746,0.10316509378711357,0.21425864477151796,0.4954035958068109,0.2266311162720725,0.061197536473255335,0.468337069182704,0.24875409975588642,0.3146289905839317,TCP Features
loss_rate,0.007937831280484076,0.21768852706171438,0.3540460064404598,0.72095671558673,0.06740612412242518,0.04516442861782549,0.46891468058292185,0.4828059154247093,0.34888402527721074,0.3060025969792261,0.31456018813532266,0.31199291078849367,Engineered - Loss & Jitter
ct_dst_sport_ltm,0.007538939333053258,0.13445112230839684,0.42950790467994254,0.8128876503152798,0.06723322892821675,0.04289482546686687,0.2896161130870429,0.585711894298748,0.3933710712567895,0.3052177071918098,0.30075762258576777,0.30209564796758037,Connection Patterns
bytes_total,0.020765092571765512,0.46266022537082896,0.39995387314073694,0.07041250061641688,0.006063698042018608,0.11814858593754954,0.9965990156967731,0.5454096143910194,0.034073885593669,0.02752728142009041,0.4021947239820793,0.2897944912134826,Engineered - Traffic Volume
connection_burst,0.0007641716194965408,0.0682106770992621,0.31925179894384376,0.7226472486074934,0.09949942878062303,0.004347960209909484,0.14693005780354063,0.4353577055980407,0.34970210485452347,0.4516961033024421,0.21253396984709702,0.2842826098837006,Engineered - Scanning
dbytes,0.01165645470465872,0.3651242514840436,0.49221350436438793,0.19900683872078495,0.0055067953705213385,0.06632253796321175,0.7865004374308636,0.671222347480474,0.0963030171569957,0.024999118497782007,0.3748420945320231,0.26988920172175074,Basic Flow
dpkts,0.02739896021823214,0.2736738993217631,0.4866061263374068,0.30174376374392403,0.0061336430604863506,0.15589376232037036,0.5895106683686917,0.6635756709689448,0.14601927774762732,0.027844809798639746,0.3633657494189798,0.2627094675328778,Basic Flow
sbytes,0.01354690721452097,0.4572578937224354,0.33600976786758313,0.04172566015871457,0.003218900419213271,0.07707877659062885,0.9849620559841866,0.4582102343081632,0.020191803417316308,0.014612795209939775,0.366054144689197,0.2606217398454198,Basic Flow
diverse_ports,0.0004001120607849801,0.05609132314347032,0.30115044677876046,0.6774511858932568,0.0909024383467551,0.0022765453144466766,0.12082421260463233,0.4106732302939596,0.3278309107238305,0.4126684714185619,0.19498139048524166,0.2602875147652377,Engineered - Scanning
