feature,importance,mutual_info,correlation,cohens_d,pca_reconstruction_error,importance_norm,mutual_info_norm,correlation_norm,cohens_d_norm,pca_reconstruction_error_norm,usefulness_score,combined_score,feature_group
FIN Flag Count,0.0011874701720076292,0.01350964626464668,0.19314165968080688,0.49717759135068185,0.3200866991059152,0.017770392951483374,0.03263067992157203,0.5213672277877559,0.33522872469869447,0.4585460606709229,0.20156941459806282,0.27866240841992085,TCP Flags
Fwd Packet Length Mean,0.020948625612622673,0.1814697716215663,0.22139328242293344,0.22865608321577555,0.05403262947722403,0.31349445039148516,0.4383151059047341,0.5976297506112136,0.15417446100654364,0.07740543253962032,0.3616966769675077,0.27640930363914146,Forward Packets
Fwd Packet Length Max,0.015793477031754533,0.24129348150269925,0.1935231289583713,0.16434380410097826,0.061192111829905124,0.23634807807425262,0.582810993555075,0.5223969672031603,0.11081103577341964,0.08766188005348154,0.3487893241950315,0.2704510909525665,Forward Packets
Flow IAT Max,0.0066882875513175,0.20609706513800807,0.07863304053942988,1.052857271542616,0.017581854836842575,0.10008967025966096,0.49779892334357917,0.21226228679155726,0.7099032751458584,0.025187208019707395,0.37440490805856913,0.2696395980469106,Flow Duration
diverse_src_ports,0.0022824179401564624,0.020965408818424347,0.1719003158633344,0.44072761950642836,0.3033154726125769,0.03415619577839385,0.05063904199839538,0.4640282748197405,0.2971665666291474,0.4345201331249758,0.19000391585435195,0.2633587810355391,Engineered - Scanning
avg_jitter,0.0090350112031643,0.13259018276701995,0.12338793000438524,0.9940890110057647,0.029782024442050924,0.13520819569710646,0.3202532272022087,0.3330737817784669,0.6702779795266248,0.042664784337660785,0.3548100167470337,0.2611664470242218,Engineered - Network Quality
bytes_total,0.02873708078588682,0.3578477655179213,0.003596819116739084,0.016008106651537117,0.0062227941406098886,0.430048038158596,0.8643317277538234,0.009709265286667783,0.010793682722217316,0.008914577667591793,0.34973761712392254,0.2474907052870233,Engineered - Traffic Volume
Fwd IAT Total,0.005715919864622197,0.1671837149551063,0.11551474033706902,0.5545660152346619,0.10065796227935152,0.0855382682175477,0.40380911416425475,0.3118208678422419,0.3739236467663407,0.14419940662103575,0.28245884426636153,0.24098101297276378,Packet Timing
Down/Up Ratio,0.002470557148103485,0.014959993334618726,0.06319661694463101,0.13056802642086374,0.4318010239005451,0.03697168347114742,0.03613379244490244,0.17059315445688492,0.08803726021637714,0.6185844618234152,0.0762528990980411,0.2389523679156533,Ratios
URG Flag Count,0.005492941547783373,0.017541085797698752,0.14444013218047955,0.36867727903518555,0.2698778375954132,0.08220141614050808,0.042368063895158584,0.38990216518118226,0.24858564872280317,0.38661843693422276,0.17537928603287933,0.23875103130328235,TCP Flags
response_body_len,0.029223455807488675,0.2889961943574999,0.05283457315373007,0.014112043146366195,0.00533510147122896,0.4373266001464214,0.6980302912378756,0.1426218195599724,0.009515236223734931,0.007642897282970779,0.3366087258213235,0.23791897725981767,Engineered - Response
Flow IAT Std,0.004786552203232932,0.1427461990626413,0.12104943265855779,0.8841568673894872,0.022738147579760507,0.071630357999166,0.3447836782983209,0.32676123439538035,0.5961547427818601,0.03257394958546273,0.32207595954887114,0.2352253565598486,Flow Duration
Flow Duration,0.007857971728462688,0.19059351132394742,0.05128487808252987,0.5497781645774882,0.096322214349847,0.11759389726846278,0.4603522358253911,0.13843856761669274,0.3706953736145042,0.13798815154955107,0.2707277850638512,0.23090589500956116,Flow Duration
PSH Flag Count,0.007828087491568126,0.016205890349065832,0.173053463268926,0.44377508303339586,0.16809580996516882,0.11714668213397755,0.03914308416855432,0.4671410846976174,0.29922136018678896,0.2408087299163622,0.21316333266855259,0.22145695184289546,TCP Flags
Subflow Bwd Bytes,0.023179314235403127,0.28981433760910114,0.05283457315373007,0.014112043146366195,0.00533510147122896,0.34687652121200363,0.7000064029768526,0.1426218195599724,0.009515236223734931,0.007642897282970779,0.30996773007574246,0.21927028023791095,Subflow
Bwd IAT Std,0.0012573026503613384,0.08327824155104357,0.16689836667602548,0.41707030885922214,0.1331075436691558,0.018815430216733854,0.20114706123687928,0.4505259968252762,0.2812153045126898,0.19068564849949524,0.21634041986746766,0.20864398845707594,Packet Timing
connection_completed,0.0008091211531737028,0.006654983753803911,0.11004961724409075,0.2796499086392436,0.2884325559408485,0.012108431164165436,0.0160741917663613,0.29706829669206203,0.18855773845429868,0.4131993383834971,0.11420417124282703,0.20390272138502802,Engineered - Connection State
